Date : 2023-04-04 17:36:16
Directory : e:\Flutter Projects\medo_app
Total : 70 files,  4165 codes, 461 comments, 457 blanks, all 5083 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| e:\Flutter Projects\medo_app\android\app\src\profile\AndroidManifest.xml                     | XML        |          4 |          4 |          1 |          9 |
| e:\Flutter Projects\medo_app\android\build.gradle                                            | Groovy     |         27 |          0 |          5 |         32 |
| e:\Flutter Projects\medo_app\android\gradle.properties                                       | Properties |          3 |          0 |          1 |          4 |
| e:\Flutter Projects\medo_app\android\gradle\wrapper\gradle-wrapper.properties                | Properties |          5 |          0 |          1 |          6 |
| e:\Flutter Projects\medo_app\android\settings.gradle                                         | Groovy     |          8 |          0 |          4 |         12 |
| e:\Flutter Projects\medo_app\ios\Runner\AppDelegate.swift                                    | Swift      |         12 |          0 |          2 |         14 |
| e:\Flutter Projects\medo_app\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json     | JSON       |        122 |          0 |          1 |        123 |
| e:\Flutter Projects\medo_app\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json   | JSON       |         23 |          0 |          1 |         24 |
| e:\Flutter Projects\medo_app\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md       | Markdown   |          3 |          0 |          2 |          5 |
| e:\Flutter Projects\medo_app\ios\Runner\Base.lproj\LaunchScreen.storyboard                   | XML        |         36 |          1 |          1 |         38 |
| e:\Flutter Projects\medo_app\ios\Runner\Base.lproj\Main.storyboard                           | XML        |         25 |          1 |          1 |         27 |
| e:\Flutter Projects\medo_app\ios\Runner\Runner-Bridging-Header.h                             | C++        |          1 |          0 |          1 |          2 |
| e:\Flutter Projects\medo_app\lib\main.dart                                                   | Dart       |         51 |          2 |          5 |         58 |
| e:\Flutter Projects\medo_app\lib\models\DoctorModel.dart                                     | Dart       |         23 |          0 |          4 |         27 |
| e:\Flutter Projects\medo_app\lib\resources\colors.dart                                       | Dart       |          4 |          0 |          2 |          6 |
| e:\Flutter Projects\medo_app\lib\resources\pics.dart                                         | Dart       |         38 |          0 |          2 |         40 |
| e:\Flutter Projects\medo_app\lib\resources\widgets.dart                                      | Dart       |        201 |         17 |         18 |        236 |
| e:\Flutter Projects\medo_app\lib\screens.dart\Auth_screens\Sign_in_screen.dart               | Dart       |        124 |         21 |          6 |        151 |
| e:\Flutter Projects\medo_app\lib\screens.dart\Auth_screens\favourites_screen\Item.dart       | Dart       |         20 |          0 |          4 |         24 |
| e:\Flutter Projects\medo_app\lib\screens.dart\Auth_screens\favourites_screen\fav_screen.dart | Dart       |         21 |          0 |          3 |         24 |
| e:\Flutter Projects\medo_app\lib\screens.dart\Auth_screens\newacc_screen.dart                | Dart       |        310 |         11 |          7 |        328 |
| e:\Flutter Projects\medo_app\lib\screens.dart\Home_screen\bottombar.dart                     | Dart       |         77 |         35 |         32 |        144 |
| e:\Flutter Projects\medo_app\lib\screens.dart\Home_screen\buttons.dart                       | Dart       |         52 |          9 |          6 |         67 |
| e:\Flutter Projects\medo_app\lib\screens.dart\Home_screen\card.dart                          | Dart       |        124 |          0 |          5 |        129 |
| e:\Flutter Projects\medo_app\lib\screens.dart\Home_screen\checkbutton.dart                   | Dart       |         42 |          0 |          5 |         47 |
| e:\Flutter Projects\medo_app\lib\screens.dart\Home_screen\home_screen.dart                   | Dart       |        491 |          6 |         17 |        514 |
| e:\Flutter Projects\medo_app\lib\screens.dart\Home_screen\list_view_item.dart                | Dart       |         48 |          1 |          5 |         54 |
| e:\Flutter Projects\medo_app\lib\screens.dart\Notification screen\MyListtile.dart            | Dart       |         70 |          1 |          7 |         78 |
| e:\Flutter Projects\medo_app\lib\screens.dart\Notification screen\newbutton.dart             | Dart       |         27 |          0 |          3 |         30 |
| e:\Flutter Projects\medo_app\lib\screens.dart\Notification screen\notification_screen.dart   | Dart       |        134 |          0 |          4 |        138 |
| e:\Flutter Projects\medo_app\lib\screens.dart\intro screens\intro_screen1.dart               | Dart       |        190 |         17 |          9 |        216 |
| e:\Flutter Projects\medo_app\lib\screens.dart\intro screens\intro_screen2.dart               | Dart       |        186 |         17 |          6 |        209 |
| e:\Flutter Projects\medo_app\lib\screens.dart\intro screens\intro_screen3.dart               | Dart       |        203 |         25 |         11 |        239 |
| e:\Flutter Projects\medo_app\lib\screens.dart\intro screens\intro_screens.dart               | Dart       |         68 |          7 |          5 |         80 |
| e:\Flutter Projects\medo_app\lib\screens.dart\splash_screens\splash_screen.dart              | Dart       |         70 |          7 |          6 |         83 |
| e:\Flutter Projects\medo_app\lib\screens.dart\splash_screens\splash_screen_2.dart            | Dart       |        101 |         13 |          6 |        120 |
| e:\Flutter Projects\medo_app\lib\utils\routes\routes_names.dart                              | Dart       |         11 |          0 |          1 |         12 |
| e:\Flutter Projects\medo_app\linux\flutter\generated_plugin_registrant.cc                    | C++        |          3 |          4 |          5 |         12 |
| e:\Flutter Projects\medo_app\linux\flutter\generated_plugin_registrant.h                     | C++        |          5 |          5 |          6 |         16 |
| e:\Flutter Projects\medo_app\linux\main.cc                                                   | C++        |          5 |          0 |          2 |          7 |
| e:\Flutter Projects\medo_app\linux\my_application.cc                                         | C++        |         74 |         11 |         20 |        105 |
| e:\Flutter Projects\medo_app\linux\my_application.h                                          | C++        |          7 |          7 |          5 |         19 |
| e:\Flutter Projects\medo_app\macos\Flutter\GeneratedPluginRegistrant.swift                   | Swift      |          6 |          3 |          4 |         13 |
| e:\Flutter Projects\medo_app\macos\Runner\AppDelegate.swift                                  | Swift      |          8 |          0 |          2 |         10 |
| e:\Flutter Projects\medo_app\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json   | JSON       |         68 |          0 |          1 |         69 |
| e:\Flutter Projects\medo_app\macos\Runner\Base.lproj\MainMenu.xib                            | XML        |        343 |          0 |          1 |        344 |
| e:\Flutter Projects\medo_app\macos\Runner\MainFlutterWindow.swift                            | Swift      |         12 |          0 |          4 |         16 |
| e:\Flutter Projects\medo_app\pubspec.yaml                                                    | YAML       |         33 |         49 |         19 |        101 |
| e:\Flutter Projects\medo_app\test\widget_test.dart                                           | Dart       |         14 |         10 |          7 |         31 |
| e:\Flutter Projects\medo_app\web\index.html                                                  | HTML       |         38 |         16 |          6 |         60 |
| e:\Flutter Projects\medo_app\web\manifest.json                                               | JSON       |         35 |          0 |          1 |         36 |
| e:\Flutter Projects\medo_app\windows\flutter\generated_plugin_registrant.cc                  | C++        |          3 |          4 |          5 |         12 |
| e:\Flutter Projects\medo_app\windows\flutter\generated_plugin_registrant.h                   | C++        |          5 |          5 |          6 |         16 |
| e:\Flutter Projects\medo_app\windows\runner\flutter_window.cpp                               | C++        |         48 |          4 |         15 |         67 |
| e:\Flutter Projects\medo_app\windows\runner\flutter_window.h                                 | C++        |         20 |          5 |          9 |         34 |
| e:\Flutter Projects\medo_app\windows\runner\main.cpp                                         | C++        |         30 |          4 |         10 |         44 |
| e:\Flutter Projects\medo_app\windows\runner\resource.h                                       | C++        |          9 |          6 |          2 |         17 |
| e:\Flutter Projects\medo_app\windows\runner\utils.cpp                                        | C++        |         53 |          2 |         10 |         65 |
| e:\Flutter Projects\medo_app\windows\runner\utils.h                                          | C++        |          8 |          6 |          6 |         20 |
| e:\Flutter Projects\medo_app\windows\runner\win32_window.cpp                                 | C++        |        210 |         24 |         55 |        289 |
| e:\Flutter Projects\medo_app\windows\runner\win32_window.h                                   | C++        |         48 |         31 |         24 |        103 |
| Total                                                                                        |            |      4,165 |        461 |        457 |      5,083 |
+----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
